Rank,Title,Duration,Genre,Star,Description,Votes
1,Death Note: Desu nôto,(2006–2007),"Animation, Crime, Drama",9,An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.,"342,206"
2,One Punch Man: Wanpanman,(2015–2019),"Animation, Action, Comedy",8.7,"The story of Saitama, a hero that does it just for fun & can defeat his enemies with a single punch.","169,658"
3,Monster,(2004–2005),"Animation, Crime, Drama",8.7,A brilliant neurosurgeon finds his life in utter turmoil after getting involved with a psychopathic former patient.,"35,424"
4,Kenpuu Denki Berserk,(1997–1998),"Animation, Action, Adventure",8.7,"Guts is a skilled swordsman who joins forces with a mercenary group named 'The Band of the Hawk', lead by the charismatic Griffith, and fights with them as they battle their way into the royal court.","43,970"
5,Kaubôi bibappu: Cowboy Bebop,(1998–1999),"Animation, Action, Adventure",8.9,The futuristic misadventures and tragedies of an easygoing bounty hunter and his partners.,"126,505"
6,Shinseiki Evangelion,(1995–1996),"Animation, Action, Drama",8.5,A teenage boy finds himself recruited as a member of an elite team of pilots by his father.,"75,444"
7,Code Geass: Hangyaku no Lelouch,(2006–2008),"Animation, Action, Drama",8.7,"After being given a mysterious power to control others, an outcast prince becomes the masked leader of the rebellion against an all-powerful empire.","72,533"
8,Tokyo Ghoul,(2014),"Animation, Action, Drama",7.7,"A Tokyo college student is attacked by a ghoul, a superpowered human who feeds on human flesh. He survives, but has become part ghoul and becomes a fugitive on the run.","57,889"
9,Steins;Gate,(2011–2015),"Animation, Comedy, Drama",8.8,"After discovering time travel, a university student and his colleagues must use their knowledge of it to stop an evil organization and their diabolical plans.","66,353"
10,Made in Abyss,(2017– ),"Animation, Action, Adventure",8.4,"A girl and her robot companion search for her mother, who's lost within a vast chasm.","12,914"
11,Kaguya-sama wa kokurasetai ~ Tensai tachi no ren'ai zunô sen ~,(2019– ),"Animation, Comedy, Romance",8.5,The proudly privileged top two students of an elite school each makes it their mission to be the first to extract a confession of love from the other.,"16,432"
12,Re:Zero kara hajimeru isekai seikatsu,(2016– ),"Animation, Adventure, Drama",8.1,"After being suddenly transported to another world, Subaru Natsuki and his new female partner are brutally murdered. However, Subaru awakens to a familiar scene, meeting the same girl again. The day begins to mysteriously repeat itself.","20,735"
13,Boku dake ga inai machi,(2016),"Animation, Crime, Drama",8.5,"29-year-old Satoru Fujinuma is sent back in time 18 years to prevent the events leading to his mother's death, which began with a series of kidnappings while he was in 5th grade.","51,626"
14,Kiseijû: Sei no kakuritsu,(2014–2015),"Animation, Action, Drama",8.3,"17-year-old Shinichi Izumi is partially infected by a Parasyte, monsters that butcher and consume humans. He must learn to co-exist with the creature if he is to survive both the life of a Parasyte and a human as part monster, part person.","42,082"
15,Serial Experiments Lain,(1998),"Animation, Drama, Horror",8.1,"Strange things start happening when a withdrawn girl named Lain becomes obsessed with an interconnected virtual realm known as ""The Wired"".","15,213"
16,Psycho-Pass,(2012– ),"Animation, Action, Crime",8.2,"Believing in humanity and order, policewoman Akane Tsunemori obeys the ruling, computerized, precognitive Sibyl System. But when she faces a criminal mastermind who can elude this perfect system, she questions both Sibyl and herself.","20,471"
17,Seishun Buta Yaro wa Bunny Girl-senpai no Yume wo Minai,(2018–2019),"Animation, Drama, Fantasy",8.1,"The seemingly normal life of Sakuta Azusagawa, a high school student changes drastically when he meets a wild bunny girl that seems to be invisible to others.","13,923"
18,Akame ga Kill!,(2014),"Animation, Action, Adventure",7.8,A countryside boy named Tatsumi sets out on a journey to The Capital to make a name for himself and met a seemingly dangerous group of Assassins known as Night Raid. Their journey begins.,"26,385"
19,Samurai chanpurû,(2004–2005),"Animation, Action, Adventure",8.6,"Fuu, a waitress who works in a teahouse, rescues two master swordsmen, Mugen and Jin, from their execution to help her find the ""samurai who smells of sunflowers.""","51,446"
20,Erufen rîto,(2004),"Animation, Action, Drama",7.9,"Two university students come across a seemingly harmless girl named Lucy, unaware that she's actually a mutant serial killer with a split personality.","34,841"
21,Black Lagoon,(2006),"Animation, Action, Adventure",7.9,"A Japanese businessman, captured by modern-day pirates, is written off and left for dead by his company. Tired of the corporate life, he opts to stick with the mercenaries that kidnapped him, becoming part of their gang.","16,256"
